コメント,点数,カテゴリ
"講師の熱意が伝わってくる講義で、明日からのチーム開発が楽しみになった。",4,その他
"Gitのブランチ戦略（Git Flow, GitHub Flow, GitLab Flow）を、チームの規模やプロダクトの特性に応じてどう使い分けるべきか、という深い議論ができた。",5,講義内容
"スクラムが形骸化する原因とその対策について、講師自身の生々しい失敗談を交えて語ってくれたのが、何よりも説得力があった。",5,講義内容
"プロダクトマネジメントにおける、定性的なユーザー調査と定量的なデータ分析をどう組み合わせるか、という話が非常に実践的だった。",5,講義内容
"GitHub Actionsを使い、プルリクエスト作成時に自動でテストとLinterを動かすハンズオンは、コード品質向上のための具体的な第一歩となった。",5,講義内容
"PMBOKの各プロセスを、アジャイルの文脈で再解釈するという試みが非常に面白く、硬直した知識がほぐれていく感覚があった。",5,講義内容
"チームのコラボレーションを促進するための、具体的なプラクティス集（グラウンドルールの設定、感謝の文化の醸成など）が、明日からすぐに使えるものばかりだった。",5,講見内容
"講義資料が、オンラインのインタラクティブなノートブック形式で提供され、自分のペースで動かしながら学べたのが最高だった。",5,講義資料
"講義資料に、講師が厳選した「チーム開発の名著10選」とその書評が載っており、今後の学習の指針になった。",5,講義資料
"ロールプレイング演習（スクラムマスター役、プロダクトオーナー役など）を通じて、各役割の難しさとやりがいを肌で感じることができた。",5,運営
"Miroのようなオンラインホワイトボードを駆使した、インタラクティブな講義運営は、オンラインでも一体感があり素晴らしかった。",5,運営
"この講義で得た知識と人脈は、今後のキャリアにおける大きな財産になる。受講料以上の価値があった。",5,その他
"「完璧な計画はない。変化に対応する計画こそが価値を持つ」という、講師の言葉が深く心に刺さった。",5,その他
"Gitの内部構造（オブジェクト、参照など）まで踏み込んで解説してくれたので、コマンドの挙動を根本から理解できた。",5,講義内容
"大規模スクラム（LeSS, SAFe）の概要と、導入の際の注意点について知ることができた。",4,講義内容
"プロダクトバックログの健全性を保つための、リファインメントの具体的な進め方が参考になった。",4,講義内容
"講義資料がGitHubリポジトリで公開されており、受講後も更新が追えるのがありがたい。",4,講義資料
"講師のファシリテーションが見事で、受講者から多様な意見を引き出し、議論を深めていた。",5,運営
"この講義を受けて、炎上していたプロジェクトの原因が明確になり、チームに改善提案をすることができた。",5,その他
"Gitのrebaseをいつ使うべきか、チームでの合意形成のポイントが学べた。",4,講義内容
"PMBOKのインプット・ツール・アウトプットを丸暗記するのではなく、その背景にある「なぜ」を考えることの重要性を学んだ。",4,講義内容
"カンバンのリードタイムやサイクルタイムを計測し、プロセスのボトルネックを特定する演習が有益だった。",4,講義内容
"非エンジニアのメンバー（デザイナー、企画職など）と、GitHubを使ってどう協業するか、という具体的な話が聞きたかった。",3,講義内容
"講義資料はまとまっていたが、もう少し図やイラストが多いと、視覚的に理解しやすかった。",3,講義資料
"グループワークのメンバーは良かったが、お題が少し簡単すぎて、議論がすぐに終わってしまった。",3,運営
"自分のチームは少人数なので、PMBOKのような大規模なフレームワークは、あまり参考にならなかった。",2,その他
"Gitの複雑な操作でエラーが出た際、自力で解決するのが難しかった。もう少しサポートが欲しかった。",2,運営
"プロダクトマネジメントの話が中心で、プロジェクトマネジメント（予算、進捗管理など）の話が少なかった。",2,講義内容
"講義資料のサンプルが、特定のプログラミング言語に依存しており、他の言語の者としては分かりにくかった。",2,講義資料
"講師が早口で、専門用語も多かったため、初心者の自分には難しすぎた。",1,講義内容
"講義で使ったオンラインツールのライセンスが、講義期間中しか使えず、復習ができなかった。",1,運営
"結局、プロジェクトの成功は、優秀なリーダーがいるかどうかに尽きる、という印象を持ってしまった。",1,その他
"Gitの操作は、結局「習うより慣れろ」だと感じた。講義で学ぶことではなかったかもしれない。",2,講義内容
"アジャイル開発が銀の弾丸ではない、という話は良かったが、ではどのような状況で有効なのか、という指針が欲しかった。",3,講義内容
"プルリクエストのレビューで、どのような観点でコメントすべきか、という具体的なガイドラインが参考になった。",4,講義内容
"心理的安全性という言葉が一人歩きしがちだが、その本質と、チームで醸成していくためのステップを学べた。",4,講義内容
"講義資料のテンプレート（ふりかえりシート、ユーザーストーリーの雛形など）が、すぐに実務で使えそうでありがたい。",4,講義資料
"休憩時間中の雑談から、他の会社の開発文化を知ることができて面白かった。",4,運営
"この講義は、自分のキャリアをエンジニアからマネジメントの方向にシフトするきっかけになった。",4,その他
"PMBOKの考え方が、システム開発だけでなく、様々な業務に応用できる普遍的なものであると気づいた。",3,講義内容
"コラボレーションの重要性は理解したが、文化の異なる海外メンバーとの協業の難しさについても触れてほしかった。",3,講義内容
"講義資料は充実していたが、情報量が多すぎて、1日で消化するのは大変だった。",3,その他
"Gitのハンズオンで、自分のPCの環境構築に手間取り、講義に遅れてしまった。",2,運営
"プロジェクトのステークホルダーマネジメントについて、もっと具体的なテクニックが知りたかった。",2,講義内容
"Web上の記事を読んでいるような感覚で、あまり講義としての付加価値を感じられなかった。",1,講義内容
"講師の自慢話が多く、聞いていて不快だった。",1,運営
"チームでの共同作業をシミュレーションする演習は、非常に学びが多かった。",5,講義内容
"「ふりかえり（レトロスペクティブ）」を形骸化させないための、多様な手法（KPT, Fun/Done/Learnなど）を知れたのが良かった。",5,講義内容
"講義資料のデザインが洗練されており、学習のモチベーションが上がった。",4,講義資料
"受講証明書が発行されたのが、学習の記念になり嬉しかった。",4,その他
"Gitのコミットメッセージの書き方について、チームで規約を作ることの重要性を学んだ。",4,講義内容
"スクラムマスターの役割は、思っていたよりもずっと奥が深いことを知った。",4,講義内容
"講義で学んだ手法を、自分のチームに導入する際の注意点や、反発への対処法まで言及されており、実践的だった。",4,講義内容
"プロジェクトの「リスク管理」について、PMBOKのフレームワークが非常に役立つと感じた。",3,講義内容
"GitHub Projectsを使ったタスク管理のデモが、分かりやすかった。",3,講義内容
"もう少し、受講者同士でコードレビューをし合うような、実践的な演習が欲しかった。",3,その他
"講義のペースが少し早く、ついていくのが大変だった。",2,運営
"リモートでのグループワークは、やはりコミュニケーションが難しいと感じた。",2,運営
"ウォーターフォール開発の経験しかない自分にとって、アジャイルの考え方は新鮮だったが、まだ腹落ちしていない部分もある。",2,講義内容
"結局、どの開発手法を選ぶべきか、明確な答えは得られなかった。",2,講義内容
"資料の誤字脱字が多く、品質を疑った。",1,講義資料
"講師が受講生のレベル感を把握できていないと感じた。",1,運営
"プロダクトマネジメントと、いわゆる「何でも屋」との違いが、最後までよく分からなかった。",1,講義内容
"Gitで一度コンフリクトを起こしてから、ブランチを触るのが怖くなってしまった。",1,その他
"「優れたチームは、ツールではなく文化が作る」という講師の言葉が、この講義のすべてを物語っている。",5,その他
"これまで曖昧に理解していたアジャイルとスクラムの違いが、明確に言語化できるようになった。",5,講義内容
"講義で紹介された「インセプションデッキ」は、プロジェクトの初期段階でチームの目線を合わせるのに非常に有効だと感じた。",5,講義内容
"講義資料に、各章の理解度を確認するためのクイズが付いていて、知識の定着に役立った。",4,講義資料
"Slackでの質疑応答チャンネルが講義後も残され、継続的に学習できるコミュニティとなっているのが素晴らしい。",5,運営
"この講義は、チーム開発の「地図」と「コンパス」を与えてくれた。",5,その他
"PMBOKとアジャイルを対立するものと捉えず、両方の良いところを組み合わせて使う「ハイブリッドアプローチ」の具体例が非常に参考になった。",4,講義内容
"技術的な負債とどう向き合うか、というテーマについて、チームで議論するきっかけをもらった。",4,講義内容
"講義資料に、便利なGitエイリアスの設定例が載っていて、早速自分の環境に設定した。",4,講義資料
"オンライン受講者とオフライン受講者の間に情報格差が生まれないよう、運営が非常に気を配っているのが伝わってきた。",4,運営
"この講義のおかげで、明日からチームメンバーへの接し方が変わりそうだ。",4,その他
"見積もり手法（プランニングポーカーなど）のロールプレイングが、面白くて学びが深かった。",4,講義内容
"大規模なモノリシックなリポジトリ（モノレポ）でのGit運用戦略について、少し触れてほしかった。",3,講義内容
"プロダクトロードマップの作成方法について、もう少し時間を割いてほしかった。",3,講義内容
"講義内容は良かったが、演習の時間が足りず、中途半端に終わってしまった。",3,運営
"受講者のバックグラウンドが多様で、ディスカッションが面白かった。",3,その他
"GitのGUIツール（SourceTreeなど）の紹介もあったが、基本はCUIでの操作を推奨するというスタンスだった。",2,講義内容
"PMBOK第7版の変更点について、もう少し詳しい解説が聞きたかった。",2,講義内容
"講師が特定のツール（JIRAなど）を前提に話を進める場面があり、使っていない者としては分かりにくかった。",2,講義内容
"資料が多すぎて、どれが重要なのか分からなくなった。",2,講義資料
"グループワークのメンバーに、全くやる気のない人がいて、議論が進まなかった。",1,運営
"この講義で得られたことは、ほとんどなかった。時間の無駄だった。",1,その他
"Gitの blame, bisect といった、原因調査に役立つコマンドの紹介が非常に有益だった。",4,講義内容
"チームのベロシティを計測し、スプリント計画に活かすという考え方が、予測可能性を高める上で重要だと理解できた。",4,講義内容
"プロダクトの成功を定義する「ノーススターメトリック」の設定方法について学べた。",5,講義内容
"オンラインホワイトボードを使ったブレインストーミングのファシリテーション方法が、リモート会議ですぐに役立った。",4,講義内容
"講義資料に、講師おすすめのブログやポッドキャストのリストがあり、学習を継続する上で非常に役立つ。",4,講義資料
"講義の録画映像がチャプター分けされており、後から見返したい部分をすぐに見つけられた。",5,運営
"受講者同士でGitHubのアカウントを交換し、繋がれたのが良かった。",4,その他
"プロジェクトマネージャーとしての自分の強みと弱みを、客観的に見つめ直す良い機会になった。",4,その他
"PMBOKのプロセスは、大規模プロジェクトにおけるチェックリストとして非常に有効だと感じた。",3,講義内容
"ペアプログラミングは効果的だと思うが、自分のチームで導入する際のハードルは高いと感じた。",2,講義内容
"講義で紹介されたコラボレーションツールは、結局のところ、チームの文化が伴わないと意味がないと感じた。",2,講義内容
"講義の大部分が座学で、もう少し演習中心の構成が良かった。",2,その他
"Gitの歴史の話は興味深かったが、少し長すぎると感じた。",2,講義内容
"講義資料が、講義終了後すぐにダウンロードできず、不便だった。",2,運営
"講師の経験談が、特定の業界に偏っていたように思う。",1,講義内容
"受講者の質問に対して、講師が少し馬鹿にしたような回答をする場面があり、不快だった。",1,運営
"期待していたGitの応用的な内容ではなく、基本操作に終始していてがっかりした。",1,講義内容
"この講義は、マネジメント層向けであり、現場のエンジニアにはあまり響かない内容だと感じた。",1,その他
"チームトポロジーの考え方を学ぶことで、チーム間の連携のあり方を見直すきっかけになった。",5,講義内容
"OKRs（Objectives and Key Results）を使って、プロダクトの目標とチームの活動を連携させる方法論が非常にクリアだった。",5,講義内容
"GitHubのCODEOWNERSファイルを使って、コードレビューの責任者を自動で割り当てる方法を知り、すぐにチームに提案した。",5,講義内容
"「アウトプット（作ったもの）」ではなく「アウトカム（生み出した成果）」でチームを評価するべき、というメッセージに強く共感した。",5,講義内容
"講義資料に、ケーススタディとして架空のプロジェクトが設定されており、一貫してその事例に基づいて解説が進んだため、物語のように理解できた。",5,講義資料
"講義で使ったオンラインホワイトボードの成果物が、すべてPDFで配布され、後から議論の過程を振り返ることができた。",5,運営
"講師の「プロジェクトマネジメントは科学であり、アートでもある」という言葉が印象に残った。",5,その他
"この講義で得た一番の収穫は、同じ悩みを持つ仲間と出会えたことだ。",5,その他
"Gitのフック（pre-commit hookなど）を使って、コミット前に自動でチェックをかける仕組みは、品質向上に直結すると感じた。",4,講義内容
"不確実性の高いプロジェクトにおいて、いかに仮説検証サイクルを速く回すか、というリーンな考え方が参考になった。",4,講義内容
"講義資料に、各手法を導入する際の「アンチパターン集」がまとめられており、失敗を避ける上で非常に有益だった。",4,講義資料
"TAの方々が、演習中に各グループを巡回し、議論を活性化させるための的確な問いかけをしてくれた。",4,運営
"この講義をきっかけに、PMPの資格取得に挑戦しようという意欲が湧いた。",4,その他
"PMBOKのテーラリング（プロジェクトに合わせて取捨選択すること）の重要性が理解できた。",3,講義内容
"カンバンでのタスクの粒度の揃え方が、まだいまいち掴めていない。",3,講義内容
"講師は知識豊富だったが、教え方が少し一方的だと感じた。",3,運営
"演習の時間がもう少し長く、試行錯誤できる余裕が欲しかった。",3,その他
"Gitの操作で、一度大きなミスをしてしまい、チームに迷惑をかけたトラウマがある。",1,その他
"講義で紹介されたフレームワークが多すぎて、結局どれを使えば良いのか分からなくなってしまった。",2,講義内容
"講義資料の文字ばかりのスライドは、正直言って退屈だった。",2,講義資料
"オンライン受講者のカメラがオフの人が多く、一体感がなかった。",2,運営
"受講料を会社に経費申請するための、領収書の発行がスムーズでなかった。",1,運営
"技術的な話とマネジメントの話が、行ったり来たりして、少し混乱した。",2,講義内容
"プルリクエストのテンプレートを作成し、チームのレビュー効率を上げるというプラクティスは、すぐにでも導入したい。",4,講義内容
"デイリースクラムを、単なる進捗報告会ではなく、チームの課題解決の場として活用するためのヒントを得た。",4,講義内容
"講義資料が、Mind Map形式でまとめられており、知識の全体像と関連性を把握しやすかった。",4,講義資料
"講師が、受講生一人ひとりの課題感に寄り添おうとしてくれる姿勢が、非常に好印象だった。",5,運営
"これまで自己流でやってきたプロジェクト管理を、一度体系的に学び直す良い機会となった。",4,その他
"Gitのタグ付け（バージョン管理）のベストプラクティスが学べてよかった。",3,講義内容
"ステークホルダーとのコミュニケーション計画の立て方が、PMBOKのフレームワークを通じて学べた。",3,講義内容
"グループワークのメンバーに恵まれ、非常に有意義なディスカッションができた。",4,運営
"この講義内容は、マネージャーだけでなく、チームメンバー全員が受講すべきだと感じた。",4,その他
"Gitで、複数のコミットを一つにまとめる`squash`の使い所がよくわかった。",3,講義内容
"アジャイル開発の「契約」について、どう考えるべきかという難しいテーマにも触れてくれて良かった。",3,講義内容
"講義資料に、講師がおすすめするVSCodeの拡張機能リストがあり、参考になった。",3,講義資料
"講義の進行が非常にスムーズで、ストレスなく受講できた。",4,運営
"自分のチームが抱えている問題は、実は多くのチームが共通して抱えている問題なのだと分かり、少し安心した。",3,その他
"GitHubのissue機能のうまい使い方が、いまいちピンとこなかった。",2,講義内容
"PMBOKの内容は、やや古く、現代のDXプロジェクトにはそぐわない部分もあると感じた。",2,講義内容
"講師の話が、時々脱線して長くなるのが気になった。",2,運営
"講義で紹介された手法を、自分のチームに導入しようとしても、おそらく抵抗勢力に遭うだろうと感じた。",2,その他
"結局のところ、Gitは難しい。もっと簡単なバージョン管理システムはないのだろうか。",1,講義内容
"講義のタイトルから期待していた内容と、実際の内容に少しギャップがあった。",2,その他
"プロジェクト憲章の重要性は理解できたが、作成するのに多大な労力がかかりそうだ。",2,講義内容
"講義資料に、参照先のURLリンクが多数記載されていたが、リンク切れになっているものがいくつかあった。",1,講義資料
"講師が、特定の受講者の意見を否定するような場面があり、聞いていて気持ちの良いものではなかった。",1,運営
"この講義は、プロジェクトマネジメントの「理想」を語っているだけで、現場の「現実」からかけ離れている。",1,講義内容
"「Doneの定義」をチームで明確にすることが、いかに重要かを痛感した。",5,講義内容
"WBS（Work Breakdown Structure）の作成演習を通じて、タスクの洗い出しと構造化のスキルが身についた。",4,講義内容
"講義資料に、便利なツールのリンク集があり、非常に実用的だった。",4,講義資料
"運営スタッフのきめ細やかなサポートのおかげで、快適に学習に集中できた。",5,運営
"この講義は、私の「仕事のやり方」そのものを変える、大きなインパクトがあった。",5,その他
"コンフリクト（意見の対立）は、チームが健全である証拠であり、避けるべきものではない、という言葉に勇気づけられた。",5,講義内容
"「Why（なぜ作るのか）」から始めるプロダクト開発の重要性を、改めて認識した。",5,講義内容
"講義資料が、講義後も長期間アクセス可能なのがありがたい。",4,講義資料
"オフライン会場での参加だったが、コーヒーやお菓子が用意されており、リラックスできた。",4,運営
"受講料は安くなかったが、自己投資として非常に価値があった。",4,その他
"Gitのサブモジュールやサブツリーといった、複数のリポジトリを扱う手法についても触れてほしかった。",3,講義内容
"リスクマネジメントの話で、ポジティブなリスク（好機）についても言及があったのが良かった。",3,講義内容
"講師への質問がSlackでオープンに行われ、他の人の質問と回答が参考になった。",4,運営
"自分のチームの課題を、講義で学んだフレームワークに当てはめて整理することができた。",3,その他
"Gitの操作にまだ自信がなく、チームの足を引っ張ってしまわないか不安だ。",2,講義内容
"講義で紹介されたプラクティスを実践するには、まず上司の理解を得る必要があり、ハードルが高い。",2,その他
"講師の話が、時々抽象的で、具体的なイメージが湧きにくかった。",2,講義内容
"オンラインでのハンズオンは、やはり対面に比べて効率が落ちると感じた。",2,運営
"プロジェクトの失敗は、個人の責任ではなく、プロセスの問題と捉えるべきだという考え方に救われた。",5,その他
"GitHub CopilotのようなAIツールが、チーム開発にどのような影響を与えるか、という未来志向の議論も聞きたかった。",3,講義内容
"EVM（Earned Value Management）の計算方法を学んだが、これを実務で使うイメージはまだ湧かない。",2,講義内容
"講義資料は、印刷するにはページ数が多すぎた。",2,講義資料
"グループワークで、リーダーシップを発揮する人がおらず、うまく議論をまとめられなかった。",1,運営
"この講義で学んだことは、ほとんどが既に知っている内容だった。",1,その他
"CHANGELOGをしっかり書く文化が、チームのコラボレーションを円滑にすることがよくわかった。",4,講義内容
"プロダクトバックログアイテムの分割パターン（INVEST）は、すぐにでも使えそうだ。",4,講義内容
"講義資料の図解が、非常に直感的でわかりやすかった。",5,講義資料
"講師が、すべての質問に対して、誠実に、そして熱意をもって答えてくれた。",5,運営
"この講衣を受けて、漠然としていたプロジェクトへの不安が、具体的な課題として認識できるようになった。",4,その他
"チームの成熟度モデルについて学ぶことで、自分たちのチームが今どの段階にいるのかを客観視できた。",4,講義内容
"PMBOKの調達マネジメントの考え方は、外部の協力会社と仕事をする上で非常に役立つと感じた。",3,講義内容
"Gitのせいではないが、自分のPCのスペックが低く、演習についていくのが大変だった。",2,その他
"講義の時間が少し長すぎて、後半は集中力が切れてしまった。",2,運営
"アジャイル開発という言葉だけが先行して、本質が理解されていなかったことに気づいた。",3,講義内容
"他の受講生のプルリクエストを見ることで、自分とは違うコードの書き方や考え方に触れることができた。",4,その他
"品質管理のパートで、テスト計画の立て方についてもう少し詳しく知りたかった。",3,講義内容
"講義資料に、後で復習するためのキーワードリストがまとめられていて助かった。",4,講義資料
"運営のスムーズさは、見えないところで多くの準備がされているからだと感じ、感謝したい。",4,運営
"Gitを使ったことがなかったが、この講義で最低限の操作はできるようになった。",3,講義内容
"プロジェクトマネジメントの資格（PMP, Prince2など）の種類と違いについて、説明がほしかった。",2,その他
"結局、どの手法も万能ではなく、状況に応じて使い分けるしかない、という当たり前の結論に至った。",2,講義内容
"講師と受講生の距離が近く、アットホームな雰囲気で良かった。",4,運営
"この講義で学んだことを、一つでもいいから明日から実践してみようと思う。",4,その他
"「サイロ化」したチームの問題点と、それを解消するためのコミュニケーション戦略が参考になった。",4,講義内容
"講義資料のボリュームが、ちょうど1日で学ぶのに適した量だった。",4,講義資料
"Gitのブランチ名を、チケット駆動開発のチケット番号と紐づけるという運用ルールは、トレーサビリティの観点で非常に良いと思った。",5,講義内容
"ふりかえり（レトロスペクティブ）で出た課題を、次のスプリントのタスクとして具体的に計画に落とし込むことの重要性を学んだ。",5,講義内容
"この講義は、私のマネジメントに対する考え方を根本から変えてくれた。",5,その他
"講師自身のキャリアパスの話が、自分の将来を考える上で参考になった。",4,その他
"PMBOKの知識は、PMP試験を受ける上では必要だが、実務ではあまり使わないと感じた。",2,講義内容
"グループワークの時間が、もう少し長いと良かった。",3,運営
"講義で紹介された本を、早速購入した。",4,その他
"コミュニケーションコストの重要性について、改めて考えさせられた。",3,講義内容
"演習課題が、実践的で非常にやりがいがあった。",5,その他
"この講義で学んだことを、早くチームに持ち帰って共有したい。",5,その他
"GitHubのセキュリティ機能（Dependabotなど）についての解説が有益だった。",4,講義内容
"講師のたとえ話が非常にうまく、難しい概念もすっと頭に入ってきた。",5,運営
"プロジェクトの成功は、チームメンバー全員の当事者意識によって作られるのだと痛感した。",5,講義内容
"この講義は、開発者とマネージャーの間の「溝」を埋めるための、共通言語を与えてくれた。",5,その他
"Four Keys（デプロイ頻度、リードタイム等）の計測方法について、具体的なツールを交えた解説がなく、概念的な理解に留まってしまった。",2,講義内容
"アジャイル開発における契約形態（準委任契約など）の話があったが、法務的な観点が弱く、実務で使えるレベルではなかった。",2,講義内容
"講義資料の構成が分かりにくく、話があちこちに飛んでいるように感じた。一貫したストーリーが欲しかった。",2,講義資料
"ハンズオン演習で、講師の進むスピードが速すぎて、多くの受講者が置いてきぼりになっていた。",2,運営
"この講義で紹介された理想的なチーム開発は、自分の会社の文化とはかけ離れており、導入は不可能だと感じてしまった。",1,その他
"Gitの高度な機能（サブモジュール、ワークツリーなど）についての解説が一切なく、物足りなかった。",2,講義内容
"PMBOKのテーラリングについて、具体的にどのプロセスを省略できるのか、という指針が示されなかった。",2,講義内容
"コラボレーションの話で、文化的な背景が異なるメンバーとの協業の難しさについて、もっと深く掘り下げてほしかった。",2,講義内容
"プロダクトマネジメント手法の紹介が、BtoCサービスの事例に偏っており、BtoBプロダクトの者としては参考にしにくかった。",2,講義内容
"講義資料に掲載されている統計データや事例が古く、現在のトレンドを反映していなかった。",1,講義資料
"講義資料のファイルサイズが非常に大きく、ダウンロードに時間がかかった。",2,講義資料
"オンライン受講者への配慮が足りず、オフライン会場のホワイトボードの内容が見えない場面が多々あった。",1,運営
"講師が時間を守らず、講義が大幅に延長した。後の予定があったので困った。",1,運営
"技術的な内容を期待していたが、実際はマネジメントの精神論が多く、期待外れだった。",1,その他
"受講者の中に、自分の意見ばかりを主張する人がいて、グループワークが円滑に進まなかった。",1,その他
"GitHub Actionsの基本的な書き方は分かったが、より複雑なワークフローの作り方や、セキュアな運用方法については学べなかった。",3,講義内容
"スクラムにおける「完成の定義（Definition of Done）」を、複数のチームでどう整合性を取るか、という話が聞きたかった。",3,講義内容
"見積もり手法としてプランニングポーカーを学んだが、形骸化させないためのコツや、リモートでの実践方法も知りたかった。",3,講義内容
"チームの意思決定プロセスについて、合意形成の様々な手法（多数決、コンセンサスなど）を知れたのは良かった。",3,講義内容
